sample	contig	taxid	name
SRR6145058	k99_5823	1747	Cutibacterium acnes
SRR6145058	k99_9347	1747	Cutibacterium acnes
SRR6145058	k99_3379	1747	Cutibacterium acnes
SRR6145058	k99_4325	9606	Homo sapiens
SRR6145058	k99_3234	1234380	Cutibacterium acnes C1
SRR6145058	k99_9316	1747	Cutibacterium acnes
SRR6145058	k99_8164	1747	Cutibacterium acnes
SRR6145058	k99_8663	1747	Cutibacterium acnes
SRR6145058	k99_2064	1747	Cutibacterium acnes
SRR6145058	k99_5882	1747	Cutibacterium acnes
SRR6145058	k99_9317	1747	Cutibacterium acnes
SRR6145058	k99_7143	1747	Cutibacterium acnes
SRR6145058	k99_10267	1747	Cutibacterium acnes
SRR6145058	k99_2116	1747	Cutibacterium acnes
SRR6145058	k99_4570	1747	Cutibacterium acnes
SRR6145058	k99_6708	1747	Cutibacterium acnes
SRR6145058	k99_6381	1747	Cutibacterium acnes
SRR6145058	k99_12036	1747	Cutibacterium acnes
SRR6145058	k99_10183	1747	Cutibacterium acnes
SRR6145058	k99_5131	1234380	Cutibacterium acnes C1
SRR6145058	k99_5395	1747	Cutibacterium acnes
SRR6145058	k99_1358	1747	Cutibacterium acnes
SRR6145058	k99_10996	1747	Cutibacterium acnes
SRR6145058	k99_476	1747	Cutibacterium acnes
SRR6145058	k99_7532	1747	Cutibacterium acnes
SRR6145058	k99_6652	1747	Cutibacterium acnes
SRR6145058	k99_3309	1747	Cutibacterium acnes
SRR6145058	k99_5064	1747	Cutibacterium acnes
SRR6145058	k99_11241	1747	Cutibacterium acnes
SRR6145058	k99_6284	1747	Cutibacterium acnes
SRR6145058	k99_10755	1234380	Cutibacterium acnes C1
SRR6145058	k99_3566	1747	Cutibacterium acnes
SRR6145058	k99_11367	1747	Cutibacterium acnes
SRR6145058	k99_9355	1747	Cutibacterium acnes
SRR6145058	k99_7589	9606	Homo sapiens
SRR6145058	k99_7343	1747	Cutibacterium acnes
SRR6145058	k99_3310	1747	Cutibacterium acnes
SRR6145058	k99_7033	1747	Cutibacterium acnes
SRR6145058	k99_8977	1747	Cutibacterium acnes
SRR6145058	k99_12037	1747	Cutibacterium acnes
SRR6145058	k99_8665	1747	Cutibacterium acnes
SRR6145058	k99_9812	1747	Cutibacterium acnes
SRR6145058	k99_11799	1747	Cutibacterium acnes
SRR6145058	k99_3383	1234380	Cutibacterium acnes C1
SRR6145058	k99_10301	1234380	Cutibacterium acnes C1
SRR6145058	k99_10618	1747	Cutibacterium acnes
SRR6145058	k99_7665	1747	Cutibacterium acnes
SRR6145058	k99_10113	9606	Homo sapiens
SRR6145058	k99_10557	1747	Cutibacterium acnes
SRR6145058	k99_1741	1747	Cutibacterium acnes
SRR6145058	k99_5584	1234380	Cutibacterium acnes C1
SRR6145058	k99_9484	1747	Cutibacterium acnes
SRR6145058	k99_4074	1491	Clostridium botulinum
SRR6145058	k99_6287	1747	Cutibacterium acnes
SRR6145058	k99_8599	1747	Cutibacterium acnes
SRR6145058	k99_9429	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145058	k99_12039	2	Bacteria
SRR6145058	k99_10756	1234380	Cutibacterium acnes C1
SRR6145058	k99_9103	1747	Cutibacterium acnes
SRR6145058	k99_11177	9606	Homo sapiens
SRR6145058	k99_6087	1747	Cutibacterium acnes
SRR6145058	k99_2071	1747	Cutibacterium acnes
SRR6145058	k99_1053	1747	Cutibacterium acnes
SRR6145058	k99_3438	1747	Cutibacterium acnes
SRR6145058	k99_740	1234380	Cutibacterium acnes C1
SRR6145058	k99_10691	1747	Cutibacterium acnes
SRR6145058	k99_4695	1747	Cutibacterium acnes
SRR6145058	k99_7474	1747	Cutibacterium acnes
SRR6145058	k99_662	1747	Cutibacterium acnes
SRR6145058	k99_2494	10621	Human papillomavirus 9
SRR6145058	k99_11062	1747	Cutibacterium acnes
SRR6145058	k99_9726	1747	Cutibacterium acnes
SRR6145058	k99_5461	1747	Cutibacterium acnes
SRR6145058	k99_7537	1279	Staphylococcus
SRR6145058	k99_9158	1747	Cutibacterium acnes
SRR6145058	k99_9684	915427	Human papillomavirus type 112
SRR6145058	k99_4329	1747	Cutibacterium acnes
SRR6145058	k99_8981	43675	Rothia mucilaginosa
SRR6145058	k99_2746	1747	Cutibacterium acnes
SRR6145058	k99_11437	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145058	k99_11370	1747	Cutibacterium acnes
SRR6145058	k99_10946	1747	Cutibacterium acnes
SRR6145058	k99_3001	1747	Cutibacterium acnes
SRR6145058	k99_5964	1747	Cutibacterium acnes
SRR6145058	k99_10762	1747	Cutibacterium acnes
SRR6145058	k99_2752	1234380	Cutibacterium acnes C1
SRR6145058	k99_11914	1747	Cutibacterium acnes
SRR6145058	k99_8796	1747	Cutibacterium acnes
SRR6145058	k99_6528	1747	Cutibacterium acnes
SRR6145058	k99_664	1747	Cutibacterium acnes
SRR6145058	k99_1872	9606	Homo sapiens
SRR6145058	k99_5067	1747	Cutibacterium acnes
SRR6145058	k99_6203	1747	Cutibacterium acnes
SRR6145058	k99_9727	9606	Homo sapiens
SRR6145058	k99_5888	1747	Cutibacterium acnes
SRR6145058	k99_9875	1747	Cutibacterium acnes
SRR6145058	k99_8800	1747	Cutibacterium acnes
SRR6145058	k99_2371	1747	Cutibacterium acnes
SRR6145058	k99_10063	1747	Cutibacterium acnes
SRR6145058	k99_2626	1747	Cutibacterium acnes
SRR6145058	k99_6530	1747	Cutibacterium acnes
SRR6145058	k99_1427	1234380	Cutibacterium acnes C1
SRR6145058	k99_2686	1747	Cutibacterium acnes
SRR6145058	k99_4700	1747	Cutibacterium acnes
SRR6145058	k99_11066	1747	Cutibacterium acnes
SRR6145058	k99_1607	1747	Cutibacterium acnes
SRR6145058	k99_8803	31957	Propionibacteriaceae
SRR6145058	k99_8493	1747	Cutibacterium acnes
SRR6145058	k99_2627	1747	Cutibacterium acnes
SRR6145058	k99_11615	1747	Cutibacterium acnes
SRR6145058	k99_11067	1747	Cutibacterium acnes
SRR6145058	k99_4508	1792307	Bosea sp. PAMC 26642
SRR6145058	k99_5833	1747	Cutibacterium acnes
SRR6145058	k99_8231	1747	Cutibacterium acnes
