sample	contig	taxid	name
SRR6145060	k99_15204	34062	Moraxella osloensis
SRR6145060	k99_906	1747	Cutibacterium acnes
SRR6145060	k99_4387	1234380	Cutibacterium acnes C1
SRR6145060	k99_15684	1234380	Cutibacterium acnes C1
SRR6145060	k99_2715	1747	Cutibacterium acnes
SRR6145060	k99_15434	1747	Cutibacterium acnes
SRR6145060	k99_10111	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145060	k99_13243	1747	Cutibacterium acnes
SRR6145060	k99_13058	9606	Homo sapiens
SRR6145060	k99_2060	1747	Cutibacterium acnes
SRR6145060	k99_5394	1747	Cutibacterium acnes
SRR6145060	k99_8613	1747	Cutibacterium acnes
SRR6145060	k99_14046	1747	Cutibacterium acnes
SRR6145060	k99_5958	1747	Cutibacterium acnes
SRR6145060	k99_8048	1747	Cutibacterium acnes
SRR6145060	k99_13061	1747	Cutibacterium acnes
SRR6145060	k99_3057	1747	Cutibacterium acnes
SRR6145060	k99_15360	1747	Cutibacterium acnes
SRR6145060	k99_907	1747	Cutibacterium acnes
SRR6145060	k99_11357	1747	Cutibacterium acnes
SRR6145060	k99_980	1747	Cutibacterium acnes
SRR6145060	k99_10936	1747	Cutibacterium acnes
SRR6145060	k99_6386	34062	Moraxella osloensis
SRR6145060	k99_11839	34062	Moraxella osloensis
SRR6145060	k99_1571	1747	Cutibacterium acnes
SRR6145060	k99_5210	1234380	Cutibacterium acnes C1
SRR6145060	k99_14225	1758189	Acinetobacter sp. ACNIH2
SRR6145060	k99_15440	1747	Cutibacterium acnes
SRR6145060	k99_9026	1747	Cutibacterium acnes
SRR6145060	k99_11421	44283	Pasteurella multocida subsp. multocida
SRR6145060	k99_11841	1747	Cutibacterium acnes
SRR6145060	k99_11422	1747	Cutibacterium acnes
SRR6145060	k99_11101	1234380	Cutibacterium acnes C1
SRR6145060	k99_567	1747	Cutibacterium acnes
SRR6145060	k99_10202	1234380	Cutibacterium acnes C1
SRR6145060	k99_4475	1747	Cutibacterium acnes
SRR6145060	k99_2397	1747	Cutibacterium acnes
SRR6145060	k99_10278	1747	Cutibacterium acnes
SRR6145060	k99_14471	1747	Cutibacterium acnes
SRR6145060	k99_3550	1747	Cutibacterium acnes
SRR6145060	k99_2068	1747	Cutibacterium acnes
SRR6145060	k99_12563	1747	Cutibacterium acnes
SRR6145060	k99_4218	34062	Moraxella osloensis
SRR6145060	k99_14227	1747	Cutibacterium acnes
SRR6145060	k99_11010	1747	Cutibacterium acnes
SRR6145060	k99_3063	1747	Cutibacterium acnes
SRR6145060	k99_1806	1747	Cutibacterium acnes
SRR6145060	k99_8713	1234380	Cutibacterium acnes C1
SRR6145060	k99_2156	1747	Cutibacterium acnes
SRR6145060	k99_1321	1747	Cutibacterium acnes
SRR6145060	k99_1476	1747	Cutibacterium acnes
SRR6145060	k99_2480	1747	Cutibacterium acnes
SRR6145060	k99_12813	1747	Cutibacterium acnes
SRR6145060	k99_11423	1747	Cutibacterium acnes
SRR6145060	k99_4139	1747	Cutibacterium acnes
SRR6145060	k99_2561	1747	Cutibacterium acnes
SRR6145060	k99_15691	1747	Cutibacterium acnes
SRR6145060	k99_13383	1747	Cutibacterium acnes
SRR6145060	k99_10204	1747	Cutibacterium acnes
SRR6145060	k99_15364	1234380	Cutibacterium acnes C1
SRR6145060	k99_2322	1747	Cutibacterium acnes
SRR6145060	k99_13476	1747	Cutibacterium acnes
SRR6145060	k99_11752	1747	Cutibacterium acnes
SRR6145060	k99_15443	1747	Cutibacterium acnes
SRR6145060	k99_5215	1747	Cutibacterium acnes
SRR6145060	k99_6208	1747	Cutibacterium acnes
SRR6145060	k99_11107	1747	Cutibacterium acnes
SRR6145060	k99_8379	9606	Homo sapiens
SRR6145060	k99_14056	1747	Cutibacterium acnes
SRR6145060	k99_10368	1747	Cutibacterium acnes
SRR6145060	k99_6970	1747	Cutibacterium acnes
SRR6145060	k99_1244	1747	Cutibacterium acnes
SRR6145060	k99_4302	1747	Cutibacterium acnes
SRR6145060	k99_10695	1747	Cutibacterium acnes
SRR6145060	k99_571	9606	Homo sapiens
SRR6145060	k99_11510	1234380	Cutibacterium acnes C1
SRR6145060	k99_3557	1747	Cutibacterium acnes
SRR6145060	k99_1326	1134454	Cutibacterium acnes HL096PA1
SRR6145060	k99_4048	1747	Cutibacterium acnes
SRR6145060	k99_15696	1747	Cutibacterium acnes
SRR6145060	k99_8867	1747	Cutibacterium acnes
SRR6145060	k99_14555	1747	Cutibacterium acnes
SRR6145060	k99_8266	1747	Cutibacterium acnes
SRR6145060	k99_10534	1747	Cutibacterium acnes
SRR6145060	k99_4143	1747	Cutibacterium acnes
SRR6145060	k99_2404	1747	Cutibacterium acnes
SRR6145060	k99_495	34062	Moraxella osloensis
SRR6145060	k99_15449	1747	Cutibacterium acnes
SRR6145060	k99_9872	1747	Cutibacterium acnes
SRR6145060	k99_3560	1234380	Cutibacterium acnes C1
SRR6145060	k99_13079	1747	Cutibacterium acnes
SRR6145060	k99_10535	1747	Cutibacterium acnes
SRR6145060	k99_10698	1747	Cutibacterium acnes
SRR6145060	k99_14292	1234380	Cutibacterium acnes C1
SRR6145060	k99_5808	1747	Cutibacterium acnes
SRR6145060	k99_9873	1747	Cutibacterium acnes
