sample	name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR6145059	Nannocystaceae	224463	F	118	1	119	0.00001
SRR6145059	Muribaculaceae	2005473	F	50	-7	43	0.00001
SRR6145059	Methylophilaceae	32011	F	95	1	96	0.00001
SRR6145059	Methanosarcinaceae	2206	F	76	-2	74	0.00001
SRR6145059	Limnochordaceae	1676650	F	32	12	44	0.00001
SRR6145059	Lichenihabitantaceae	2723775	F	79	2	81	0.00001
SRR6145059	Leptolyngbyaceae	1890438	F	81	4	85	0.00001
SRR6145059	Kiritimatiellaceae	1921783	F	15	35	50	0.00001
SRR6145059	Immundisolibacteraceae	1934946	F	65	1	66	0.00001
SRR6145059	Ilumatobacteraceae	2448023	F	96	1	97	0.00001
SRR6145059	Hungateiclostridiaceae	2304686	F	74	-3	71	0.00001
SRR6145059	Herelleviridae	2560065	F	126	-9	117	0.00001
SRR6145059	Helicobacteraceae	72293	F	101	9	110	0.00001
SRR6145059	Hapalosiphonaceae	1892263	F	28	24	52	0.00001
SRR6145059	Halieaceae	1706372	F	108	0	108	0.00001
SRR6145059	Hafniaceae	1903412	F	74	3	77	0.00001
SRR6145059	Gottschalkiaceae	2042895	F	7	112	119	0.00001
SRR6145059	Francisellaceae	34064	F	63	0	63	0.00001
SRR6145059	Flammeovirgaceae	200667	F	66	39	105	0.00001
SRR6145059	Euzebyaceae	908622	F	95	0	95	0.00001
SRR6145059	Eubacteriaceae	186806	F	53	1	54	0.00001
SRR6145059	Erysipelotrichaceae	128827	F	97	5	102	0.00001
SRR6145059	Emcibacteraceae	2066491	F	44	0	44	0.00001
SRR6145059	Egicoccaceae	1755824	F	110	0	110	0.00001
SRR6145059	Egibacteraceae	1747769	F	62	21	83	0.00001
SRR6145059	Desulfuromonadaceae	213421	F	83	3	86	0.00001
SRR6145059	Desulfobulbaceae	213121	F	80	1	81	0.00001
SRR6145059	Cyclobacteriaceae	563798	F	105	3	108	0.00001
SRR6145059	Coriobacteriaceae	84107	F	72	6	78	0.00001
SRR6145059	Colwelliaceae	267889	F	69	0	69	0.00001
SRR6145059	Cohaesibacteraceae	655351	F	116	4	120	0.00001
SRR6145059	Chroococcaceae	1890464	F	66	2	68	0.00001
SRR6145059	Chlorobiaceae	191412	F	90	0	90	0.00001
SRR6145059	Casimicrobiaceae	2705999	F	40	17	57	0.00001
SRR6145059	Bradymonadaceae	1779135	F	22	63	85	0.00001
SRR6145059	Bartonellaceae	772	F	70	2	72	0.00001
SRR6145059	Bacteriovoracaceae	263369	F	67	0	67	0.00001
SRR6145059	Azonexaceae	2008795	F	63	0	63	0.00001
SRR6145059	Ardenticatenaceae	1382930	F	57	0	57	0.00001
SRR6145059	Aphanizomenonaceae	1892259	F	44	17	61	0.00001
SRR6145059	Anaplasmataceae	942	F	45	8	53	0.00001
SRR6145059	Anaerolineaceae	292628	F	43	0	43	0.00001
SRR6145059	Alicyclobacillaceae	186823	F	62	0	62	0.00001
SRR6145059	Akkermansiaceae	1647988	F	25	59	84	0.00001
SRR6145059	Actinopolysporaceae	622451	F	73	0	73	0.00001
SRR6145059	Acidithiobacillaceae	225058	F	51	0	51	0.00001
SRR6145059	Acidiferrobacteraceae	1692041	F	109	0	109	0.00001
SRR6145059	Acholeplasmataceae	2146	F	35	12	47	0.00001
SRR6145059	Woeseiaceae	1738654	F	16	0	16	0.00000
SRR6145059	Waddliaceae	92714	F	3	0	3	0.00000
SRR6145059	Vallitaleaceae	2603322	F	4	0	4	0.00000
SRR6145059	Tristromaviridae	2022738	F	1	0	1	0.00000
SRR6145059	Tospoviridae	1980419	F	3	0	3	0.00000
SRR6145059	Tolypothrichaceae	119859	F	12	5	17	0.00000
SRR6145059	Togaviridae	11018	F	2	0	2	0.00000
SRR6145059	Tissierellaceae	1737406	F	27	0	27	0.00000
SRR6145059	Thiotrichaceae	135617	F	12	0	12	0.00000
SRR6145059	Thioalkalispiraceae	1096778	F	33	3	36	0.00000
SRR6145059	Thioalkalibacteraceae	2035710	F	34	1	35	0.00000
SRR6145059	Thermotogaceae	188709	F	17	0	17	0.00000
